index|acordao_id|numero|assunto|relator|comarca|orgao_julgador|data_julgamento|data_publicacao|ementa
0|668043.0|0000223-48.2016.8.12.0012|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Des. Luiz Gonzaga Mendes Marques|Ivinhema|2ª Câmara Criminal|27/03/2017|06/04/2017|"E M E N T A – APELAÇÃO CRIMINAL – TRÁFICO DE ENTORPECENTE – DESCLASSIFICAÇÃO PARA O ART. 28 DA LEI N. 11.343/06 – RECURSO MINISTERIAL – PRETENDIDA CONDENAÇÃO DO AGENTE – PROVAS CONTUNDENTES DA AUTORIA E MATERIALIDADE – MANUTENÇÃO DE BOCA DE FUMO – PROVAS TESTEMUNHAIS FIRMES E CORROBORADAS PELOS AUTOS DE EXIBIÇÃO E APREENSÃO E LAUDOS PERICIAIS – RECURSO PROVIDO. 
Verificado no conjunto probatório que o agente mantinha em depósito entorpecentes variados que seriam destinadas à comercialização, reforma-se a sentença para condená-lo pela prática do crime previsto no art. 33, caput, da Lei n. 11.343/06."
1|695857.0|0000402-64.2013.8.12.0051|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Des. Ruy Celso Barbosa Florence|Itaquiraí|2ª Câmara Criminal|17/07/2017|25/07/2017|"E M E N T A –  APELAÇÃO CRIMINAL MINISTERIAL – SENTENÇA CONDENATÓRIA – TRÁFICO DE ENTORPECENTES – PEDIDOS DE AGRAVAMENTO DE PENA E REGIME – PREJUDICADOS – DESCLASSIFICAÇÃO DE OFÍCIO DA CONDUTA PARA USO (ART. 28 DA LEI 11.343/06) – REMESSA AO JUIZADO ESPECIAL CRIMINAL – IMPOSIÇÃO.
A admissão de uso próprio e a ausência de prova segura acerca da destinação mercantil do entorpecente apreendido conduzem à desclassificação da conduta do tráfico de drogas para aquela prevista no art. 28 da Lei n.º 11.343/06.
Operada a desclassificação e sendo o réu primário, deve o recurso ministerial ser julgado improcedente e os autos remetidos ao Juizado Especial Criminal para a análise das medidas despenalizadoras daquela seara.
Desclassificação ex officio. Recurso prejudicado."
2|723778.0|0002136-18.2014.8.12.0018|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Des. José Ale Ahmad Netto|Paranaíba|2ª Câmara Criminal|22/10/2017|27/10/2017|"E M E N T A – APELAÇÃO CRIMINAL DEFENSIVA – RECURSO DOS RÉUS IGOR, EDMILSON E FABIANO – TRÁFICO DE DROGAS – ART. 33, CAPUT, DA LEI 11.343/06 – PRETENDIDA DESCLASSIFICAÇÃO PARA O DELITO DE USO (ART. 28) – POSSIBILIDADE – CONJUNTO PROBATÓRIO FRAGILIZADO – IN DUBIO PRO REO - PRESCRIÇÃO RECONHECIDA DE OFÍCIO – EXTINÇÃO DA PUNIBILIDADE.
I. Não havendo provas concretas acerca do envolvimento dos apelantes com o tráfico de drogas, deve a conduta ser desclassificada para o delito de uso previsto no art. 28, da Lei nº 11.343/06, em homenagem ao princípio do in dubio pro reo.
II. Nos termos do art. 30, da Lei nº 11.343/06, prescrevem em 2 (dois) anos a imposição e a execução das penas, previstas no delito uso do art. 28, do mesmo codex, devendo ser declara extinta a punibilidade dos agentes se entre o recebimento da denúncia  e a presente data, transcorreu prazo superior a 2 (dois) anos anos, nos termos do art. 107, IV, c/c arts. 114 e 115, todos do Código Penal.
III. Recurso a que, contra o parecer, dar-se provimento para desclassificar a conduta de Igor, Edmilson e Fabiano e reconhecer de ofício a prescrição da pretensão punitiva.

APELAÇÃO CRIMINAL DEFENSIVA – RECURSO DE JOSÉ JOAQUIM – TRÁFICO DE DROGAS – ART. 33, CAPUT, DA LEI 11.343/06 – PRETENDIDA DESCLASSIFICAÇÃO PARA O DELITO DE USO (ART. 28) – IMPOSSIBILIDADE – TESE DESCONTEXTUALIZADA DO CONJUNTO PROBATÓRIO – CONDENAÇÃO MANTIDA – REDUÇÃO DA PENA-BASE – MODULADORAS DA CULPABILIDADE, CONSEQUÊNCIAS E MOTIVOS MAL SOPESADAS – DECOTAÇÃO – MAIOR REDUÇÃO DA PENA COM FUNDAMENTO NO ART. 33, § 4º, DA LEI N. 11.343/06 – OBSERVÂNCIA AOS PRINCÍPIOS DA PROPORCIONALIDADE E DA RAZOABILIDADE – POSSIBILIDADE – PREENCHIMENTO DOS REQUISITOS OBJETOS E SUBJETIVOS.
I. Comprovada a materialidade e a autoria do crime previsto no art. 33, caput, da Lei de Drogas, descabe o acolhimento do pedido de absolvição ou mesmo de desclassificação para o delito de uso de substância entorpecente.
II. Se as circunstâncias foram mal valoradas, devem ser decotadas da pena  -base, uma vez que fundamentação genérica é inidônea e as inerentes ao tipo penal ferem de plano o ne bis in idem.
III. Neutralizada as circunstâncias judiciais e as preponderantes do art. 42, da Lei 11.343/06 e, utilizada a natureza e variedade da droga para exasperação da pena-base, não pode tal critério ser utilizado para aferir o quantum de diminuição da eventualidade, devendo ser reduzida em seu patamar máximo, uma vez que o agente preenche todos os requisitos do art. 33, § 4º (primário, bons antecedentes, não se dedica a atividade criminosa e não integra organização para esse fim).
IV. Recurso a que, em parte com o parecer, dar-se parcial provimento.

APELAÇÃO CRIMINAL DEFENSIVA - RECURSO DOS RÉUS IGOR, EDMILSON E FABIANO – PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO E PERMITIDO (ART. 14 e 16 DA LEI 10.826/03) – ABRANDAMENTO DO REGIME PRISIONAL – POSSIBILIDADE.
I. Uma vez que os réus Igor, Edmilson e Fabiano tiveram suas condutas de tráfico extinta, o cumprimento da pena do delito de porte de arma de fogo de uso restrito e permitido (Art. 14 e 16 da Lei 10.826/03) deverá ser abrandado para o aberto e, de ofício, substituída por duas restritivas de direito a serem fixadas pelo juízo da execução."
3|897276.0|0004752-34.2016.8.12.0005|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Des. Zaloar Murat Martins de Souza|Aquidauana|3ª Câmara Criminal|08/07/2019|09/07/2019|"E M E N T A - APELAÇÃO CRIMINAL – RECURSO DEFENSIVO TRÁFICO DE DROGAS - AUTORIA COMPROVADA NOS AUTOS –  DESCLASSIFICAÇÃO PARA O DELITO DO ARTIGO 28 DA LEI N. 11.343/06 – INCABÍVEL –  ABRANDAMENTO DA PENA EM FACE DO RECONHECIMENTO DA CONFISSÃO ESPONTÂNEA – IMPOSSIBILIDADE DE REDUÇÃO DA PENA INTERMEDIÁRIA ABAIXO DO MÍNIMO LEGAL – SÚMULA 231/STJ –   CONDENAÇÃO MANTIDA – RECURSO IMPROVIDO.
I - Não há que se falar em absolvição do delito previsto no artigo 33, caput da Lei de Drogas, quando devidamente comprovado nos autos a materialidade e autoria delitivas.
II – Incabível a desclassificação do delito de tráfico de drogas para o descrito no artigo 28 da Lei 11.343/2006, pois restou demonstrado que os réus comercializavam substâncias ilegais, circunstancia que não condiz com a condição de mero usuário.
III – A despeito da presença da atenuante da confissão espontânea quanto ao delito tipificado no artigo 306 do CTB, a pena intermediária  foi  mantida no mínimo legal, mostrando-se impossível reduzi-la aquém deste patamar por força da Súmula 231 do STJ.
V – Recurso improvido, com o parecer."
4|894086.0|0024112-64.2016.8.12.0001|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Des. Zaloar Murat Martins de Souza|Campo Grande|3ª Câmara Criminal|28/06/2019|01/07/2019|"E M E N T A – APELAÇÃO CRIMINAL – RECURSOS DEFENSIVOS – TRÁFICO DE DROGAS – AUTORIA COMPROVADA NOS AUTOS –  DESCLASSIFICAÇÃO PARA ARTIGO 28 DA LEI 11.343/06 – INCABÍVEL –   CONDENAÇÃO MANTIDA – ASSOCIAÇÃO PARA O TRÁFICO – ABSOLVIÇÃO – RECONHECIMENTO DA MINORANTE PREVISTA NO ART. 33, §4º, DA LEI 11.343/06 – MANTIDA – RECURSO IMPROVIDO.
I - Não há que se falar em absolvição do delito previsto no artigo 33, caput da Lei de Drogas, quando devidamente comprovado nos autos a materialidade e a autoria delitiva.
II – Incabível a desclassificação do delito de tráfico de drogas para o descrito no artigo 28 da Lei 11.343/2006, pois restou demonstrado que o réu comercializava substâncias ilegais, circunstancia que não condiz com a condição de mero usuário.
III - Não estando suficientemente comprovado o vínculo associativo dotado de alguma estabilidade entre os agentes, necessária a solução absolutória quanto ao delito de associação ao tráfico. 
IV – Correta a aplicação da  causa de diminuição do artigo 33, § 4º , da Lei 11.343/2006, vez que  do contexto fático probatório não comprovou os réus habitualmente  se dedicam a atividades criminosas.
V – Recurso improvido."
5|888225.0|0000693-33.2018.8.12.0037|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Des. Jairo Roberto de Quadros|Itaporã|3ª Câmara Criminal|07/06/2019|10/06/2019|"E M E N T A : APELAÇÃO CRIMINAL - RECURSO DEFENSIVO - ROUBO CIRCUNSTANCIADO E TRÁFICO DE ENTORPECENTES ARTIGOS 157, 2º, I E II DO CÓDIGO PENAL E 33, CAPUT, DA LEI 11.343/06- AUTORIA E MATERIALIDADE COMPROVADAS – PROVAS ROBUSTAS DA AUTORIA - DESCLASSIFICAÇÃO – POSSE PARA CONSUMO PESSOAL – CONJUNTO PROBATÓRIO QUE DEMONSTRA A TRAFICÂNCIA – CONDENAÇÃO MANTIDA – PREQUESTIONAMENTO, RECURSO CONHECIDO E IMPROVIDO, COM O PARECER. 
- Despontando dos autos conjunto probatório robusto e consistente, em harmonia aos depoimentos das testemunhas, submetidos ao crivo do contraditório, indene a autoria imputada ao recorrente,  que, ex vi do art. 29 do Estatuo Repressor, concorreu para a prática do crime de roubo circunstanciado, revelando-se de rigor a manutenção do decreto condenatório.
- Conjunto probatório consistente e seguro, a  atestar a autoria e ao comportamento doloso do recorrente, voltado à traficância, revelando-se de rigor a manutenção do decreto condenatório pelo cometimento do delito tipificado no art. 33, caput, da Lei Antitóxicos, sendo descabida a desclassificação para o delito previsto no art. 28 da Lei Antitóxicos.
- É assente na jurisprudência que, se o julgador aprecia integralmente as matérias que lhe são submetidas, se torna despicienda a manifestação expressa acerca de dispositivos legais utilizados pelas partes como sustentáculo às suas pretensões"
6|617169.0|0015387-54.2014.8.12.0002|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Des. Luiz Gonzaga Mendes Marques|Dourados|2ª Câmara Criminal|20/06/2016|30/06/2016|APELAÇÃO CRIMINAL - TRÁFICO DE DROGAS - RECURSO DEFENSIVO - PRELIMINAR - NULIDADE DA SENTENÇA - AUSÊNCIA DE FUNDAMENTAÇÃO - REJEITADA - PRETENDIDA DESCLASSIFICAÇÃO PARA O ART. 28 DA LEI DE DROGAS - IMPOSSIBILIDADE - CONJUNTO PROBATÓRIO FIRME A DEMONSTRAR QUE A DROGA SERIA COMERCIALIZADA - REDUÇÃO DA PENA-BASE PARA O MÍNIMO LEGAL - EXISTÊNCIA DE CIRCUNSTÂNCIA NEGATIVA - APLICAÇÃO DA MINORANTE DO PRIVILÉGIO - INCABÍVEL - REINCIDÊNCIA COMPROVADA - RECONHECIMENTO DA ATENUANTE DA CONFISSÃO ESPONTÂNEA - IMPOSSIBILIDADE - MODIFICAÇÃO DO REGIME PRISIONAL - REGIME FECHADO MANTIDO - RECURSO DESPROVIDO. Se a sentença analisou atentamente as provas dos autos
7|608816.0|0001753-31.2014.8.12.0021|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Des. Francisco Gerardo de Sousa|Três Lagoas|3ª Câmara Criminal|23/06/2016|29/06/2016|APELAÇÃO CRIMINAL - TRÁFICO DE DROGAS - PEDIDO DE DESCLASSIFICAÇÃO PARA A CONDUTA DESCRITA NO ARTIGO 28 DA LEI N. 11.343/06 - POSSIBILIDADE - ELEMENTOS INSUFICIENTES PARA DEMONSTRAR A TRAFICÂNCIA - PROVA ORAL INCONCLUSIVA - RECURSO PROVIDO. I - Se os elementos de convicção carreados ao feito são inconclusivos quanto a destinação do entorpecente apreendido
8|604835.0|0001958-94.2013.8.12.0021|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Desª. Maria Isabel de Matos Rocha|Três Lagoas|1ª Câmara Criminal|07/06/2016|10/06/2016|"APELO DE ANSELMO DOS SANTOS FELICÍSSIMO
EMENTA – APELAÇÃO CRIMINAL – TRÁFICO DE DROGAS (ART. 33, CAPUT, DA LEI 11.343/06) – PRETENDIDA ABSOLVIÇÃO POR INSUFICIÊNCIA DE PROVAS – CONDENAÇÃO MANTIDA – PRETENDIDA DESCLASSIFICAÇÃO PARA O DELITO PREVISTO NO ART. 28 DA LEI 11.343/2006 – INCABÍVEL – 2 KG DE MACONHA EM SEU PODER – PRETENDIDA REDUÇÃO DA PENA-BASE – CABÍVEL – CIRCUNSTÂNCIAS JUDICIAIS MAL SOPESADAS – ALMEJADA APLICAÇÃO DA MINORANTE DO ART. 33,§ 4º DA LEI 11.343/06 EM SEU GRAU MÁXIMO – POSSIBILIDADE – MODIFICAÇÃO DO REGIME PARA O ABERTO – RECURSO PARCIALMENTE PROVIDO – DE OFÍCIO READEQUADA A DURAÇÃO DA PENA DE PRESTAÇÃO DE SERVIÇOS À COMUNIDADE. 
Não há se falar em absolvição do delito de tráfico de drogas ou desclassificação para o tipo previsto no art. 28 da Lei 11.343/2006 quando comprovadas nos autos, de forma inequívoca, a autoria e materialidade do crime com prova de que as drogas se destinavam à comercialização. 
Algumas circunstâncias judiciais descritas no art. 59, do CP (as moduladoras da culpabilidade e consequências do crime, assim como da quantidade da droga), foram amparadas em fundamentação genérica e que não extrapolou o comum do tipo penal, e por isso devem ser extirpadas da dosimetria da pena-base. 
Não sendo elevada a quantidade de drogas e não sendo as circunstâncias judiciais desfavoráveis e à luz do art. 42 da Lei 11.343/06, a redução pelo tráfico eventual deve ser de 2/3, quantum mais adequado e suficiente à reprovação e repressão da conduta.
Se são favoráveis em maioria as circunstâncias judiciais do art. 59, do CP, se o Apelante é primário e se a pena definitiva não é superior a 04 (quatro) anos para o crime de tráfico de drogas, o regime prisional mais adequado é o aberto, por força do disposto no art.  art. 33, § 2º, ""c"", do CP. 
A substituição da pena privativa de liberdade por restritivas de direitos já foi aplicada pelo sentenciante, nos termos do art. 44, I a III do CP (quantum da pena, não reincidência e delitos não praticados com violência ou grave ameaça), cabendo apenas de ofício readequar a duração de uma das penas restritivas de direitos.

Em parte contra o parecer, recurso parcialmente provido.
De ofício, readequada uma das penas restritivas de direitos para reduzir a sua duração.


APELO DE MÁRCIO PAULO DA SILVA
APELAÇÃO CRIMINAL – TRÁFICO DE DROGAS (ART.  (ART. 33, CAPUT, DA LEI 11.343/06) –  PRETENDIDA REDUÇÃO DA PENA-BASE – CABÍVEL – CIRCUNSTÂNCIAS JUDICIAIS MAL SOPESADAS AFASTADAS – ART. 42 DA LEI DE DROGAS PONDERADA EM DUPLICIDADE – BIS IN IDEM VEDADO –  ALMEJADA APLICAÇÃO DA MINORANTE DO ART. 33,§4º DA LEI 11.343/06 EM SEU GRAU MÁXIMO  – INCABÍVEL –  QUANTUM  DE REDUÇÃO MANTIDO EM 1/3 (UM TERÇO) – CONDIÇÃO DE FORNECEDOR DO APELANTE E  QUANTIDADE DE DROGA QUE IMPEDEM MAIOR REDUÇÃO DE PENA – PLEITO DE ABRANDAMENTO DO  REGIME PARA O SEMIABERTO – EX OFFICIO RECONHECIDA POSSIBILIDADE DO REGIME ABERTO – PREENCHIDOS OS REQUISITOS – PRETENDIDA SUBSTITUIÇÃO DA PENA PRIVATIVA DE LIBERDADE POR RESTRITIVA DE DIREITOS – IMPOSSIBILIDADE – RECURSO PARCIALMENTE PROVIDO. 
Na aferição das circunstâncias judiciais descritas no art. 59, do CP as moduladoras da culpabilidade, dos motivos, circunstâncias e das consequências do crime, foram amparadas em fundamentação genérica, e por isso devem ser extirpadas da dosimetria da pena-base. 
Segundo o art. 42, da lei 11343/2006, a natureza e quantidade de droga apreendida deve ser tomada como parâmetro para definir o ""quantum"" da pena-base, mesmo assim os cerca de 8kg (oito quilos) de maconha não justificam elevação da pena base, porque foram ponderados na terceira etapa da dosimetria, sendo vedado que o mesmo elemento  agrave a pena em duas etapas da dosimetria. 
 Se o Apelante ostenta condição de fornecedor de drogas e a quantidade de droga apreendida é razoável, não deve ser aplicada a minorante em patamar superior ao fixado pelo juiz, que se entende adequado.
A substituição da pena privativa de liberdade por restritivas de direitos é inadequada à luz do art, 42 da Lei de Drogas e do art. 44, III do CP.
De ofício, reconhece-se que, sendo favoráveis em maioria as circunstâncias judiciais do art. 59, do CP, sendo o Apelante primário e não sendo a pena definitiva superior a 04 (quatro) anos, o regime adequado é o aberto, por força do disposto no art.  art. 33, §2º, ""c"", do CP. 

Em parte contra o parecer, recurso parcialmente provido.
De ofício, abrandado o regime inicial de pena para o aberto."
9|604845.0|0008255-12.2015.8.12.0001|Apelação Criminal / Tráfico de Drogas e Condutas Afins|Desª. Maria Isabel de Matos Rocha|Campo Grande|1ª Câmara Criminal|07/06/2016|10/06/2016|"APELAÇÃO CRIMINAL – TRÁFICO DE DROGAS (ART. 33, CAPUT, C/C ART. 40, III, DA LEI 11343/06) – PRETENDIDA DESCLASSIFICAÇÃO DO CRIME DE TRÁFICO DE DROGAS PARA O PREVISTO NO ART. 28, DA LEI 11.343/06 – INCABÍVEL – COMPROVADA A TRAFICÂNCIA – SENTENÇA CONDENATÓRIA FUNDAMENTADA EM PROVAS IDÔNEAS E ROBUSTAS DE MATERIALIDADE E AUTORIA – PEDIDO DE RECONHECIMENTO DA ATENUANTE DE CONFISSÃO ESPONTÂNEA – POSSIBILIDADE – RECURSO PARCIALMENTE PROVIDO. 
Não cabe a desclassificação do delito de tráfico de drogas para o previsto no art. 28 da Lei 11343/2006 se há confissão do Apelante na fase extrajudicial de que entregaria a droga a terceiros no Presídio,  corroborada por provas testemunhais no mesmo sentido.
Ademais, as circunstâncias da apreensão da droga e sua quantidade indicam que a droga não se destinava a uso próprio, pois o apelante cumpria pena em regime semiaberto e com trabalho externo, com possibilidade de adquirir drogas fora do presídio a cada dia, como tal a quantidade de drogas que levava era muito mais que a necessária para seu consumo.
A confissão espontânea, ainda que extrajudicial, quanto usada para fundamentar a sentença condenatória é circunstância que  atenua a pena. 
Em parte contra o parecer, recurso parcialmente provido."
