assunto|ementa
NULIDADE DE ATO ADMINISTRATIVO| APELAÇÃO CÍVEL. DIREITO ADMINISTRATIVO. MUNICÍPIO DE RIO BONITO. CONTRATO TEMPORÁRIO DE TRABALHO. AUXILIAR DE COZINHA. DISPENSA DA CONTRATADA. AUSÊNCIA DE PAGAMENTO DAS VERBAS RESCISÓRIAS. Sentença parcialmente procedente, acolhendo o pedido de férias proporcionais e adicional de 1/3, rejeitando, porém, o pedido de pagamento do FGTS, com a fixação da sucumbência recíproca das partes. Apelos ofertados por ambos os litigantes. Vínculo administrativo com o Município. Direitos elencados no artigo 7º, VIII e XVII da Constituição Federal que asseguram o pagamento de férias proporcionais. A declaração de nulidade do contrato administrativo não é capaz de alterar sua natureza e transformá-lo num contrato de trabalho regido pela CLT, de modo que a relação jurídica não rende ensejo ao pagamento de verbas trabalhistas nela previstas, tais como: aviso prévio, multa rescisória e FGTS. Contrato temporário que possui natureza administrativa, não sendo aplicáveis os dispositivos das leis trabalhistas, mas, sim, a legislação interna que rege a matéria. Sucumbência recíproca corretamente fixada, na medida em que ambos os litigantes são em parte, vencedores e vencidos. Taxa judiciária devida pela municipalidade na razão de 50%. APELOS CONHECIDOS E DESPROVIDOS. 
NULIDADE DE ATO ADMINISTRATIVO| EMENTA: RECURSO DE APELAÇÃO CÍVEL. DIREITO ADMINISTRATIVO E CONSTITUCIONAL. MUNICÍPIO DE RIO BONITO. CONTRATO DE TRABALHO TEMPORÁRIO CELEBRADO ENTRE A PARTE AUTORA E A MUNICIPALIDADE, PARA O EXERCÍCIO DA FUNÇÃO DE AUXILIAR DE EDUCAÇÃO INFANTIL, DURANTE O PERÍODO DE 09/04/2012 A 31/12/2012. PRETENSÃO DE RECEBIMENTO DE FÉRIAS PROPORCIONAIS E FGTS. SENTENÇA DE PARCIAL PROCEDÊNCIA. INSURGÊNCIA DE AMBAS AS PARTES. 1 - O concurso público, em princípio, constitui procedimento administrativo obrigatório para aferir e aprovar os candidatos a cargos e empregos públicos, salvo as exceções constitucionais, em casos de necessidade temporária de excepcional interesse público, quando então é autorizada a contratação por regime temporário diferenciado, nos termos do inciso IX, do artigo 37, da Carta Magna. 2 - Demandante que foi admitida pelo Município de Rio Bonito, em 09/04/2012, contratual, circunstância que, mediante contrato administrativo por prazo determinado, para o exercício da função de ¿Auxiliar de Educação Infantil¿, o qual foi rescindido em 31/12/2012, sob a égide da Lei nº 708/1998. 3 - Relação contratual estabelecida entre as partes pelo período de 09 (nove) meses, em estrita observância à lei de regência, razão pela qual não se visualiza qualquer eiva no atuar da Administração Pública, ressaltando-se, por oportuno, que na petição vestibular não há uma única linha de argumentação no sentido de apontar que o contrato em questão ostenta algum vício, a justificar qualquer entendimento aplicável às hipóteses de contratação declarada ilegal. Com efeito, ausentes no relato inaugural a alegação ou comprovação de inexistência de excepcional interesse público a desautorizar a contratação temporária em comento e a importar na nulidade da relação discutida, miltando em favor do ato administrativo, a presunção de veracidade e legitimidade. 4- Inaplicável o preceituado no artigo 19-A da Lei nº 8.036/90, porquanto este dispositivo legal é específico para as hipóteses em que o trabalhador teve seu contrato declarado nulo por haver ingressado no emprego burlando a ausência de aprovação em concurso público (art. 37, § 2º da CRFB), o que não ocorreu no caso em exame. Ressai-se que sequer houve notícias de eventual prorrogação da inobstante pudesse acarretar o relação desvirtuamento da condição específica de que o contrato deve ser temporário e excepcional, por outro lado, não seria apta a transmudar o vínculo administrativo em trabalhista, como já decidido pela Corte Maior. 5 - Por certo, a contratação a título precário estabelece um vínculo laboral entre as partes submetido a regime especial, não sendo aplicável as regras relativas ao regime celetista. Contudo, a Constituição Federal, norteada pelo princípio da dignidade da pessoa humana, assegura a todos os trabalhadores os direitos enumerados no artigo 7º da Lei Maior, dentre os quais, as férias anuais remuneradas, acrescidas do terço do salário recebido mensalmente. Assim, ainda que a autora esteja submetida a regime especial, não lhe são subtraídos seus diretos sociais, garantidos através dos artigos 7º, inciso XVII e 39, § 3º, ambos da Carta Magna. Insofismável que a ausência de previsão na Lei Municipal do direito às férias remuneradas, com acréscimo de um terço, assim como, o fato do vínculo contratual não ter alcançado o lapso temporal de 12 (doze) meses, não constituem óbice ao seu pagamento proporcional por se tratar de garantia constitucional estendida a todos os empregados e servidores públicos, sob pena de se caracterizar o locupletamento ilícito da Administração Pública. Contudo, como dito alhures, escorreita a denegação da pretensão de depósitos fundiários, porquanto o regime jurídico administrativo a que se sujeitou a contratação temporária da autora não contempla o pagamento de FGTS, não podendo o servidor pleitear vantagem prevista na CLT em desacordo com o Estatuto que rege o vínculo funcional dele com o Poder Público, destacando-se, inclusive, que o FGTS não se encontra elencado nos artigos 7º e 39, § 3º, da CRFB/88. 6 - Quando da propositura desta demanda, a parte autora deduziu pretensão de recebimento de duas verbas de naturezas distintas, quais sejam, férias proporcionais e FGTS, tendo sido acolhido somente um dos pedidos, o que caracteriza a figura da sucumbência recíproca, preceituada no caput do artigo 96 do CPC, razão pela qual reforma-se parcialmente a sentença, para condenar a municipalidade ao pagamento de 50% (cinquenta por cento) da taxa judiciária, assim como a autora nos honorários sucumbenciais, observando-se, contudo, o disposto no § 3º, do artigo 98, do CPC. RECURSO DA PARTE RÉ CONHECIDO E PARCIALMENTE PROVIDO. RECURSO DA PARTE AUTORA PREJUDICADO. 
NULIDADE DE ATO ADMINISTRATIVO| Apelação cível. Ação de Cobrança. Município de Rio Bonito. Contrato temporário. Férias e FGTS. Sentença de parcial procedência. Improcedência do pleito de recebimento do FGTS. Inconformismo de ambos os demandantes. Entendimento desta Relatora quanto à manutenção da sentença de parcial procedência vergastada. Prazo quinquenal previsto para a cobrança das dívidas da Fazenda Pública, com fulcro no artigo 1º do Decreto 20910/32. Propositura da demanda em Outubro de 2013. Matéria de ordem pública. Preliminar de ocorrência de prescrição que não se acolhe. Direitos sociais listados no artigo 7º, tais como o estabelecido no § 3º, do artigo 39 da Carta Magna, dentre os quais o direito ao gozo de férias anuais remuneradas com, pelo menos, um terço a mais do que o salário normal, incluindo-se o direito a férias proporcionais. Contrato temporário que constitui classe excepcional de servidor público. Simples prorrogação do contrato que não lhe desvirtua a natureza de contrato administrativo, razão pela qual descabida a pretensão de recebimento de indenização referente ao FGTS. Hipótese dos autos, em que não restou caracterizada qualquer declaração de nulidade do contrato, de modo que inaplicável entendimento fixado no (STJ. S1. REsp 1110848/RN, Min. Luiz Fux, 24.06.2009). Consectários da sucumbência bem fixados. Inaplicabilidade de compensação da sucumbência. Vedação nos termos do art. 85, §14, do CPC/15. Precedentes do TJERJ. CONHECIMENTO DOS RECURSOS. NEGATIVA DE PROVIMENTO AO APELO DO MUNICÍPIO-RÉU e AO RECURSO ADESIVO da AUTORA. 
NULIDADE DE ATO ADMINISTRATIVO| APELAÇÃO CÍVEL. DIREITO ADMINISTRATIVO. LICITAÇÃO E CONTRATO ADMINISTRATIVO. IMPLANTAÇÃO DO PROCESSO ELETRÔNICO NO ÂMBITO DO TRIBUNAL DE CONTAS DO MUNICÍPIO DO RIO DE JANEIRO. INEXECUÇÃO PARCIAL REITERADA. A INEXECUÇÃO TOTAL OU PARCIAL DO CONTRATO ENSEJA A SUA RESCISÃO, COM AS CONSEQUÊNCIAS CONTRATUAIS E AS PREVISTAS EM LEI OU ISSO PORQUE A ADMINISTRAÇÃO PÚBLICA POSSUI A REGULAMENTO. PRERROGATIVA CONTRATO ADMINISTRATIVO, SEM A NECESSIDADE DE PROPOSITURA DE AÇÃO JUDICIAL (ARTIGO 58,II, DA LEI DE LICITAÇÕES). ASSIM, DETECTADA QUALQUER IRREGULARIDADE, SEJA NO PROCESSO LICITATÓRIO OU MESMO NA EXECUÇÃO CONTRATUAL, A ADMINISTRAÇÃO PÚBLICA TEM O PODER-DEVER DE APURAÇÃO, DADA A IMPORTÂNCIA DO SERVIÇO QUE PRESTA À SOCIEDADE. É GARANTIDA À ADMINISTRAÇÃO PÚBLICA A PRERROGATIVA DE RESCISÃO UNILATERAL DOS CONTRATOS EM CASOS DE INEXECUÇÃO, DESDE QUE DEVIDAMENTE MOTIVADA PELA AUTORIDADE DA ESFERA ADMINISTRATIVA A QUE ESTÁ SUBORDINADO O CONTRATO E DESDE QUE SEJAM OBSERVADOS OS PRINCÍPIOS DO CONTRADITÓRIO E DA AMPLA DEFESA. DEPREENDE-SE QUE O ATO PROLATADO DEU-SE EM SEDE DE PROCESSO ADMINISTRATIVO REGULARMENTE INSTAURADO PARA RESCISÃO DE CONTRATO FIRMADO ENTRE AS PARTES, CABENDO AO PODER JUDICIÁRIO TÃO SOMENTE VERIFICAR SE REFERIDO PROCESSO ADMINISTRATIVO OBSERVOU, OU NÃO, OS PRINCÍPIOS CONSTITUCIONAIS PERTINENTES, MORMENTE O DEVIDO PROCESSO LEGAL, A AMPLA DEFESA E O CONTRADITÓRIO. E, INAPELAVELMENTE, INEXISTE QUALQUER OFENSA A REFERIDOS PRINCÍPIOS CONSTITUCIONAIS, NEM HÁ IRREGULARIDADES QUE OFENDAM AO DEVIDO PROCESSO LEGAL. SUSPENSÃO LIMINAR QUE NÃO CONFIGURA PARCIALIDADE DO UNILATERALMENTE RESCINDIR DE O na Constituição ÓRGÃO ADMINISTRATIVO JULGADOR, MAS DE EXPRESSÃO DE AUTOTUTELA CONFERIDA AO PODER PÚBLICO, CONSISTINDO EM MEDIDA ACAUTELATÓRIA, NÃO SANCIONATÓRIA, NA OBSERVÂNCIA DO INTERESSE PÚBLICO, REVESTINDO- SE DE RAZOABILIDADE E NÃO POSSUINDO QUALQUER EFEITO RETROATIVO. QUANTO ÀS MULTAS, ENCONTRAM-SE PERFEITAMENTE MOTIVADOS OS CRITÉRIOS ADOTADOS PELA ADMINISTRAÇÃO PARA APLICAÇÃO DAS PENALIDADES E SUA QUANTIFICAÇÃO, CONFORME SE OBSERVA DO PROCESSO ADMINISTRATIVO QUESTIONADO (FLS. 1.1156 E SEGUINTES), EM ESPECIAL OS RELATÓRIOS E PARECERES DAS SECRETARIAS GERAL DE ADMINISTRAÇÃO E DE ASSUNTOS JURÍDICOS. O PARECER RECURSAL DA SECRETARIA DE ASSUNTOS JURÍDICOS, NESSE SENTIDO, AFASTA QUALQUER IRREGULARIDADE NA APLICAÇÃO DAS PENALIDADES. PRESUNÇÃO DE LEGALIDADE DO ATO ADMINISTRATIVO NÃO ILIDIDA. RECURSO DESPROVIDO. 
NULIDADE DE ATO ADMINISTRATIVO| Ementa: Apelações Cíveis. Ação de cobrança. Contrato temporário. Férias e depósitos do FGTS. Aplicabilidade dos artigos 7º, inciso XVII e 39, §3º, da Constituição Federal. Reconhecimento de direito fundamental expressamente Federal. Nulidade do contrato garantido administrativocaracterizada, por inadequado à previsão da Lei de regência, tornando devido o pagamento do FGTS, conforme o artigo 19-A, da Lei nº 8.036/90. Recurso do réu a que se nega provimento. Provimento ao recurso do autor. 
NULIDADE DE ATO ADMINISTRATIVO| APELAÇÕES CÍVEIS - DIREITO ADMINISTRATIVO - AÇÃO DE COBRANÇA CONTRA FURNAS - CONTRATO ADMINISTRATIVO VERBAL - VEDAÇÃO - ATO NULO - SERVIÇO DEVIDAMENTE PRESTADO - INADIMPLÊNCIA - FATOS CONSTITUTIVOS DO DIREITO AUTORAL DEVIDAMENTE COMPROVADOS - VEDAÇÃO AO ENRIQUECIMENTO SEM CAUSA POR PARTE DA ADMINISTRAÇÃO PÚBLICA - OBRIGAÇÃO DE PAGAMENTO - OBSERVÂNCIA DO PRINCÍPIO DA BOA-FÉ OBJETIVA - ENTENDIMENTO PACIFICADO PELO STJ - A proibição da Administração Pública de firmar contrato verbal e a sua consequente nulidade não a desonera do dever de efetuar o pagamento ao prestador de serviço. A jurisprudência do STJ firmou seu entendimento no sentido de que, embora seja vedada a celebração de contrato verbal, por parte da Administração Pública, não pode ela valer-se de disposição legal que prestigia a nulidade do contrato verbal, pois configuraria uma tentativa de se valer da própria torpeza, comportamento vedado pelo ordenamento jurídico, por conta do princípio da boa-fé objetiva. No caso, restou devidamente comprovada a existência da dívida, não tendo a ré ao longo da instrução processual provado o pagamento dos serviços contratados e efetivamente executados pela empresa autora. Obrigação de pagamento sob pena de enriquecimento ilícito por parte da Administração Pública. Sentença de procedência que merece pequeno retoque tão somente para que o montante da condenação seja apurado em liquidação por mero cálculos aritméticos. Negado provimento ao recurso da ré. Provimento ao recurso adesivo da autora. 
NULIDADE DE ATO ADMINISTRATIVO| TRATA-SE DE REQUERIMENTO DE EFEITO SUSPENSIVO INTERPOSTO POR CAPTAR COOPER COOPERATIVA DE TRABALHO DE MULTISERVIÇOS PROFISSIONAIS OBJETIVANDO O DEFERIMENTO DE LIMINAR (ANTECIPAÇÃO DE TUTELA RECURSAL) PARA INVALIDAR O PROCESSO LICITATÓRIO DO PREGÃO PRESENCIAL Nº 026/2017/FMS REALIZADO PELA SECRETARIA MUNICIPAL DE SAÚDE DE BARRA MANSA. PRETENDEU A ANULAÇÃO DO EDITAL E TODOS OS ATOS SUBSEQUENTES, EFETUANDO-SE CORREÇÃO E ADEQUAÇÃO DOS ITENS 7.2.3, 7.2.4 E 16, DE MODO A PERMITIR A PARTICIPAÇÃO DE COOPERATIVAS, DE CONSÓRCIO DE PESSOAS JURÍDICAS, BEM COMO A PREVISÃO DE REAJUSTE DO CONTRATO ADMINISTRATIVO. ALEGA A COOPERATIVA NULIDADE DO ITEM DO EDITAL QUE DISPÕE SOBRE A VEDAÇÃO DA PARTICIPAÇÃO DE COOPERATIVAS POR AFRONTA A LEI DAS LICITAÇÕES. ADUZ QUE A COOPERATIVA DE TRABALHO NÃO PODERÁ SER IMPEDIDA DE PARTICIPAR DE PROCEDIMENTOS DE LICITAÇÃO PÚBLICA, QUE TENHAM POR ESCOPO OS MESMOS SERVIÇOS, OPERAÇÕES E ATIVIDADES PREVISTAS EM SEU OBJETO SOCIAL, CONFORME PREVISTO NO ARTIGO 10, § 2º, DA LEI Nº 12.690/2012. INCONFORMISMO QUE NÃO MERECE PROSPERAR. A COOPERATIVA REQUERENTE NÃO DEMONSTROU A EXISTÊNCIA DE ILEGALIDADE OU ABUSO DE PODER NO PROCESSO LICITATÓRIO DO PREGÃO PRESENCIAL Nº 026/2017/FMS DA SECRETARIA MUNICIPAL DE SAÚDE DE BARRA MANSA. EMBORA O OBJETO SOCIAL DA COOPERATIVA ESTEJA LIGADO ÀS ATIVIDADES MÉDICAS E DE ENFERMAGEM, A EXECUÇÃO DE TAIS TAREFAS É EFETUADA POR SEUS ASSOCIADOS E PRESTADORES DE SERVIÇO DE FORMA AUTÔNOMA E EM CARÁTER EVENTUAL, CONFORME PREVISTO NO ARTIGO 5º DE SEU ESTATUTO SOCIAL (FL. 47 ¿ INDEXADOR 000045 - ANEXO 1). ¿A CORTE ESPECIAL DO STJ DECIDIU PELA IMPOSSIBILIDADE DE PARTICIPAÇÃO DAS COOPERATIVAS EM PROCESSO LICITATÓRIO PARA CONTRATAÇÃO DE MÃO-DE-OBRA, QUANDO O LABOR, POR SUA NATUREZA, DEMANDAR NECESSIDADE DE ESTADO DE SUBORDINAÇÃO ANTE OS PREJUÍZOS QUE PODEM ADVIR PARA O PATRIMÔNIO PÚBLICO, CASO O ENTE COOPERATIVO SE CONSAGRE VENCEDOR NO CERTAME.¿ PRECEDENTES: ¿RMS 25.097/GO, Rel. Ministro MAURO CAMPBELL MARQUES, SEGUNDA TURMA, julgado em 01/12/2011, DJe 12/12/2011)¿ ¿ (AgRg no REsp nº 960.503/RS, 2ª Turma, Rel. Min. Herman Benjamin, j. 01/09/09)¿ (REsp nº 1.031.610/RS, 2ª Turma, Rel. Min. Eliana Calmon, j. 18/08/09).¿ NÃO SE VERIFICA QUALQUER ILEGALIDADE DO ITEM 7.2.4 DO EDITAL, POSTO QUE A ADMINISTRAÇÃO PÚBLICA TEM AMPLA DISCRICIONARIEDADE PARA PERMITIR OU NÃO A PARTICIPAÇÃO DE CONSÓRCIO DE EMPRESAS EM LICITAÇÃO, CONSOANTE PREVISÃO DO ARTIGO 33 DA LEI Nº 8.666/93. POR FIM, RESSALTE-SE QUE A REDAÇÃO DO ITEM 16.1 DO EDITAL DE PREGÃO PRESENCIAL Nº 026/2017/FMS PREVÊ O REAJUSTAMENTO DO PREÇO QUANDO NECESSÁRIO AO REEQUILÍBRIO ECONÔMICO FINANCEIRO DO CONTRATO, OU QUANDO OCORREREM OUTRAS SITUAÇÕES JUSTIFICADAS. AUSÊNCIA DOS REQUISITOS PREVISTOS NO ARTIGO 1.012, PARÁGRAFO 4º DO CPC/15, NEGATIVA DE PROVIMENTO AO PRESENTE REQUERIMENTO DE EFEITO SUSPENSIVO. INTEIRO TEOR 
NULIDADE DE ATO ADMINISTRATIVO| APELAÇÃO CÍVEL. FAZENDA PÚBLICA. AÇÃO DE COBRANÇA. CONTRATO TEMPORÁRIO. GUARDA MUNICIPAL. PRETENSÃO À PERCEPÇÃO DE VERBAS TRABALHISTAS. SENTENÇA DE PROCEDÊNCIA PARCIAL. PRETENSÃO DE PERCEPÇÃO DO FGTS E DA MULTA PELA DISPENSA IMOTIVADA, ALÉM DA CONDENAÇÃO DO RÉU AO PAGAMENTO DAS DESPESAS PROCESSUAIS. REGIME JURÍDICO ADMINISTRATIVO. TRABALHO QUE NÃO ATENDE AO REQUISITO DA EXCEPCIONALIDADE. CONTRATAÇÃO QUE NÃO SE ENCAIXA NAS REGRAS PREVISTAS NO INCISO IX DO ART. 37 DA CF, NEM NOS CASOS PREVISTOS NO ART. 2.º, DA LEI 8.745/93. ILEGALIDADE CONFIGURADA NOS TERMOS DO ART. 37, § 2.º, DA CF/88. CABIMENTO DO FGTS. CONSTITUCIONALIDADE DO ART. 19- A, DA LEI Nº 8.036/90 QUE FOI EXAMINADA E ADMITIDA EM MATÉRIA DE REPERCUSSÃO GERAL NO JULGAMENTO DO RE 596.478/RR. DESCABIMENTO DA MULTA RESCISÓRIA. VERBA ESSENCIALMENTE TRABALHISTA. NULIDADE QUE NÃO TRANSMUDA O CONTRATO ADMINISTRATIVO PARA CELETISTA. MANUTENÇÃO DA SUCUMBÊNCIA RECÍPROCA. AUTORA QUE DECAIU DE PARTE CONSIDERÁVEL DOS SEUS PEDIDOS. CONDENAÇÃO DO RÉU AO PAGAMENTO DA METADE DA TAXA JUDICIÁRIA. INTELIGÊNCIA DO VERBETE SUMULAR N.º 145 DO TJRJ E DO ENUNCIADO N.º 42 DO FETJ. MAJORAÇÃO DOS HONORÁRIOS ADVOCATÍCIOS. PROVIMENTO PARCIAL DO RECURSO. INTEIRO TEOR 
NULIDADE DE ATO ADMINISTRATIVO| APELAÇÃO CÍVEL. DIREITO ADMINISTRATIVO. CONCESSÃO DE SERVIÇO PÚBLICO. FORNECIMENTO DE GÁS. PRETENSÃO DECLARATÓRIA DE NULIDADE DE DELIBERAÇÃOES E CANCELAMENTO DE MULTAS ADMINISTRATIVAS APLICADAS EM RAZÃO DE DESCUMPRIMENTO DO CONTRATO DE CONCESSÃO. SENTENÇA DE IMPROCEDÊNCIA. INCONFORMISMO MANIFESTADO PELA PARTE-RÉ. 1- Não se verifica nulidadena sentença que aprecia detidamente os elementos trazidos aos autos para reconhecer a regular condenação da apelante às multas em razão do descumprimento de cláusulas contratuais que geraram prejuízos diretos aos usuários do serviço, entendimento do qual se compartilha. A parte autora teve acesso aos autos do processo administrativo, podendo se manifestar e, inclusive recorrer da Deliberação impugnada; 2- Igualmente, cabe asseverar que a Deliberação ora impugnada identificou as condutas, a sua tipificação e o valor da multa devida, destacando-se que o percentual de 0,0001% (um décimo de milésimo por cento) do faturamento em nada viola o princípio da proporcionalidade, sendo que, se o valor agregado das multas não é irrelevante, isto se dá justamente em razão da multiplicidade das irregularidades praticadas pela apelante; 3- Inaplicabilidade do Princípio da Insignificância. Violação sistemática e repetitiva das cláusulas contratuais, repita-se, com danos aos consumidores. Inexistência de perda de objeto da aplicação da penalidade em razão da regularização a posteriori das ocorrências que deram origem a aplicação das multas, posto que os descumprimentos contratuais já haviam sido consumados; 4- A Ação Declaratória de Nulidade não é o meio correto para promover a revisão administrativa ou judicial do contrato administrativo; 5- Por fim, não está o juízo a quo vinculado às conclusões explicitadas pelo parquet em sua promoção; 6- Sentença mantida. Recurso desprovido, com condenação do apelante em honorários sucumbenciais recursais, novamente fixados em 10% (dez por cento) sobre o valor do benefício econômico pretendido (art. 85, §11, CPC/15). 
NULIDADE DE ATO ADMINISTRATIVO| Ação de conhecimento objetivando a Autora o pagamento de verbas trabalhistas como férias, com o acréscimo do terço constitucional, adicional de insalubridade, valores descontados em excesso por dias de falta, com fundamento nas sucessivas prorrogações do contrato temporário de trabalho firmado com o Município de Nova Iguaçu, no período de 01/11/2005 a 02/08/2011, além do ressarcimento do desconto de contribuições para o INSS, efetuado nos seus contracheques, e não repassado àquele órgão, e de indenização por dano moral. Sentença que julga procedente, em parte, o pedido, condenando o Réu ao pagamento de férias e 13º salários, integrais ou proporcionais, referentes ao período de 03/10/2008 e 02/08/2011, impondo à Autora, que sucumbiu em parte maior do pedido, o tratar-se de relação tendo sido pagamento das despesas judiciais e honorários advocatícios de 10% sobre o valor da causa. Apelação de ambas as partes, tendo sido a sentença submetida a reexame obrigatório. Sentença regulamente fundamentada, não estando eivada de nulidade. Autora que, em 01/11/2005, mediante contrato temporário, passou a prestar serviço no Hospital Geral de Nova Iguaçu, na função de auxiliar de enfermagem, contrato prorrogado por cinco vezes, expirando a última em 06/05/2010, rescindido o contrato em 02/08/2011. Contrato administrativo de natureza temporária ao qual, a despeito de prorrogações por longo período, aplicam-se as normas de Direito Administrativo, a eles não se aplicando as normas de natureza trabalhista. Férias, acrescidas do terço constitucional, e 13° salário que são direitos sociais assegurados a todos os trabalhadores, nos termos do artigo 7°, incisos VIII e XVII e do artigo 39, §3º da CF/88, tendo sido, com acerto, imposto ao Réu o pagamento de tais verbas, observada a prescrição quinquenal prevista no Decreto 20.910/32. Precedentes do TJRJ. Faltas lançadas pelo Réu que gozam de presunção de veracidade, não tendo a Autora comprovado desconto indevido a esse título. Adicional de insalubridade que não é devido, uma vez que não consta do rol do artigo 39, §3º da CF/88, e, segundo o disposto no artigo 54 do Estatuto dos Servidores de Nova Iguaçu, depende da edição de legislação específica, que, como mencionado pelo Réu, em contestação, não foi editada. Inadmissibilidade da Autora pleitear a restituição dos valores descontados a título de contribuição previdenciária, pois tal crédito pertence ao INSS. Dano moral não configurado, tanto mais que o vínculo do servidor com a Administração num contrato temporário é eminentemente precário. Sentença que, com acerto, impôs os ônus da sucumbência à Autora que decaiu de porção maior do pedido. Desprovimento de ambas as apelações, ratificada a sentença em reexame obrigatório. 
